Day,Radiation,Temperature,Pressure,Humidity,Speed,WindDirection(Degrees)
1,219.59,52.48,30.45,99.68,6.29,109.21
2,218.4,52.71,30.44,99.34,5.46,105.79
3,123.69,51.63,30.44,97.67,5.33,110.51
4,112.96,52.43,30.44,99.42,3.84,127.57
5,155.31,52.58,30.45,98.84,4.53,111.13
6,140.64,52.26,30.45,94.91,4.16,186.17
7,180.16,51.58,30.41,90.81,4.84,148.0
8,223.67,53.76,30.4,86.12,4.77,167.98
9,288.86,54.95,30.41,76.22,6.44,157.13
10,306.66,54.63,30.41,66.55,6.07,135.17
11,296.65,55.11,30.43,86.54,4.77,112.74
12,274.74,53.7,30.46,69.45,7.47,129.49
13,305.69,56.26,30.46,37.66,7.03,123.35
14,306.0,56.56,30.46,37.38,6.42,119.22
15,302.21,58.27,30.49,25.49,6.25,126.27
16,226.06,57.41,30.5,25.33,6.21,129.04
17,294.01,55.59,30.45,56.65,7.42,116.56
18,238.78,53.82,30.43,95.06,5.83,117.55
19,183.27,52.24,30.45,95.64,5.35,116.93
20,284.47,49.73,30.45,84.81,5.05,103.29
21,191.28,47.97,30.43,96.93,6.45,118.22
22,267.04,50.04,30.41,92.57,5.43,107.16
23,276.63,50.31,30.4,77.19,6.61,118.71
24,267.87,51.82,30.44,69.56,7.57,132.83
25,263.41,53.59,30.45,65.71,5.52,177.91
26,283.64,52.25,30.42,58.1,6.29,124.5
27,264.86,51.18,30.4,69.39,6.18,120.76
28,172.97,47.01,30.4,96.97,5.13,113.78
29,135.49,47.9,30.42,101.17,6.11,111.61
30,150.89,48.53,30.45,101.11,6.5,112.16
31,195.0,48.85,30.47,92.31,6.97,117.83
