Time,Radiation,Temperature,Pressure,Humidity,Speed,WindDirection(Degrees)
0:00:02,1.2,44.0,30.43,101.0,3.37,83.59
0:00:08,2.58,51.0,30.43,103.0,11.25,77.27
0:00:19,1.27,47.5,30.47,67.0,7.31,128.93
0:05:02,1.23,44.0,30.42,101.0,7.87,164.19
0:05:10,2.83,51.0,30.43,103.0,9.0,153.44
0:10:01,1.2,44.0,30.42,102.0,9.0,145.19
0:10:18,1.31,47.0,30.48,55.0,5.62,140.94
0:15:01,1.17,44.0,30.42,102.0,6.75,117.78
0:15:20,1.3,47.0,30.48,54.0,3.37,161.9
0:20:04,1.22,44.0,30.43,102.0,6.75,145.42
0:20:06,2.16,51.0,30.43,103.0,7.87,142.04
0:20:19,1.31,47.0,30.48,56.0,4.5,151.32
0:20:20,1.29,49.0,30.46,77.0,7.87,154.23
0:25:02,1.18,44.0,30.42,102.0,4.5,121.02
0:25:05,2.21,51.0,30.43,103.0,18.0,144.12
0:25:18,1.26,47.0,30.47,52.0,5.62,154.28
0:30:05,1.21,44.0,30.42,101.0,10.12,101.27
0:30:09,2.25,51.0,30.43,103.0,11.25,67.42
0:30:17,1.29,47.0,30.47,58.0,6.75,171.69
0:30:18,1.27,49.0,30.45,84.0,9.0,151.91
0:35:03,1.19,44.0,30.42,101.0,3.37,148.63
0:35:17,1.29,46.0,30.47,60.0,7.87,171.84
0:35:22,1.24,48.0,30.45,88.0,10.12,180.23
0:40:02,1.19,43.0,30.42,101.0,5.62,178.46
0:40:17,1.23,46.0,30.47,57.0,6.75,172.21
0:40:24,1.25,48.0,30.45,92.0,10.12,151.13
0:45:02,1.2,43.0,30.42,101.0,6.75,150.62
0:45:04,2.15,51.0,30.43,103.0,4.5,67.85
0:45:17,1.25,46.0,30.47,50.0,5.62,108.52
0:45:18,1.26,48.0,30.45,94.0,7.87,151.16
0:50:06,1.64,47.0,30.42,102.0,5.62,160.26
0:50:21,1.24,49.0,30.45,95.0,13.5,152.75
0:50:22,1.26,46.0,30.47,56.0,6.75,188.55
0:55:01,1.21,43.0,30.42,101.0,9.0,152.17
0:55:04,2.06,52.0,30.43,103.0,7.87,69.98
0:55:18,1.23,46.0,30.47,54.0,5.62,186.38
0:55:20,1.26,49.0,30.45,97.0,10.12,146.87
10:00:02,319.44,45.0,30.42,99.0,3.37,30.08
10:00:07,928.27,57.0,30.47,77.0,4.5,37.85
10:00:20,674.16,56.5,30.49,65.0,5.62,77.35
10:05:01,527.28,46.0,30.42,100.0,9.0,141.8
10:05:09,999.94,57.0,30.47,76.0,9.0,80.8
10:05:20,416.43,57.0,30.5,34.0,5.62,152.18
10:05:35,370.53,56.0,30.48,95.0,4.5,60.37
10:10:04,588.8,47.0,30.42,100.0,9.0,190.74
10:10:06,916.47,57.0,30.47,76.0,4.5,71.14
10:10:18,927.38,57.0,30.5,33.0,4.5,113.32
10:10:19,615.0,56.0,30.48,95.0,10.12,90.62
10:15:05,854.2,52.5,30.44,86.0,11.25,143.92
10:15:18,279.67,58.0,30.5,36.0,7.87,119.88
10:15:22,479.31,55.0,30.48,96.0,3.37,185.83
10:20:05,821.73,48.0,30.42,96.0,7.87,158.38
10:20:08,486.31,58.0,30.47,70.0,7.87,177.82
10:20:19,385.92,55.0,30.48,96.0,3.37,69.65
10:20:21,648.48,58.0,30.5,32.0,1.12,41.01
10:25:04,856.35,49.0,30.42,94.0,4.5,164.94
10:25:17,970.81,58.0,30.5,31.0,6.75,73.18
10:25:22,331.42,54.0,30.48,97.0,12.37,47.74
10:30:04,478.18,50.0,30.42,95.0,7.87,177.5
10:30:18,846.4,58.0,30.5,33.0,3.37,145.09
10:30:20,288.95,54.0,30.48,98.0,3.37,135.61
10:35:01,308.69,51.0,30.42,91.0,13.5,179.28
10:35:08,1073.71,58.0,30.47,74.0,5.62,335.52
10:35:18,640.66,58.0,30.5,33.0,7.87,122.34
10:35:21,305.67,54.0,30.48,99.0,3.37,55.18
10:40:03,192.81,51.0,30.42,90.0,6.75,182.84
10:40:09,1027.63,58.0,30.47,74.0,4.5,166.72
10:40:17,685.21,58.0,30.5,36.0,10.12,126.94
10:40:21,840.76,54.0,30.48,99.0,4.5,40.92
10:45:02,81.23,50.0,30.42,89.0,12.37,151.91
10:45:04,1006.1,58.0,30.47,73.0,7.87,72.66
10:45:20,800.82,57.0,30.49,69.0,5.06,65.02
10:50:03,1012.53,59.0,30.47,78.0,5.62,134.81
10:50:05,42.66,49.0,30.42,90.0,11.25,138.37
10:50:19,455.28,57.0,30.48,66.0,4.5,113.64
10:55:01,22.25,48.0,30.42,91.0,7.87,133.91
10:55:06,1008.46,59.0,30.47,74.0,6.75,85.75
10:55:18,378.91,59.0,30.49,34.0,7.87,68.8
10:55:24,707.63,55.0,30.47,100.0,4.5,171.13
11:00:03,19.69,47.0,30.42,93.0,9.0,148.92
11:00:06,1013.32,59.0,30.47,71.0,16.87,46.61
11:00:17,501.28,58.0,30.49,40.0,4.5,29.72
11:00:21,774.04,56.0,30.47,100.0,9.0,158.82
11:05:04,17.38,47.0,30.42,94.0,10.12,170.55
11:05:20,663.8,57.0,30.48,69.0,5.62,115.12
